Algorithm,Array Size,Mean,Standard Deviation,Number of repeats
Selection,100,0.0003672800005006138,0.00014308527844155127,5
Bubble,100,0.0006417800002964213,7.821359820427827e-05,5
Merge,100,0.00023354000004474073,3.9710049580536424e-05,5
Sorted(),100,1.3480000052368269e-05,8.052762743378723e-06,5
Selection,200,0.0013102000004437287,0.00016745460512984634,5
Bubble,200,0.0027855399988766295,0.0003768893506292741,5
Merge,200,0.00042468000028748063,0.00013418035252744768,5
Sorted(),200,1.7580000712769105e-05,8.386715471098475e-06,5
Selection,500,0.008903600000485313,0.0004327389002939895,5
Bubble,500,0.016290159999334718,0.0010088064986144964,5
Merge,500,0.0010656399994331879,7.876641398036908e-05,5
Sorted(),500,5.483999993884936e-05,1.212612824618245e-05,5
Selection,1000,0.03236958000125014,0.0019997369048666063,5
Bubble,1000,0.0705954400007613,0.0061827732443843625,5
Merge,1000,0.002593179998075357,0.00023657913522960003,5
Sorted(),1000,7.586000065202825e-05,2.0699106989602537e-05,5
Selection,2000,0.13013065999984974,0.006090158052703204,5
Bubble,2000,0.29523162000041336,0.01681620498862255,5
Merge,2000,0.005776519999199081,0.00037260771824042,5
Sorted(),2000,0.00019148000064888037,6.858168004002876e-05,5
